class,iou,accuracy
1,0.03255551014327785,0.6586553323029315
3,0.033923348512845355,0.551156559304421
4,0.049883476985208494,0.9906957791436009
5,0.031148451089973713,0.5084786724130966
6,0.03479512514076064,0.8260213431066034
7,0.09212563865595567,0.9108007761768692
